snapnum,bandwidth,num_gp
0,.05,-1
0,.10,-1
0,.15,-1
0,.20,-1
0,.25,-1
0,.30,-1
1,.05,-1
1,.10,-1
1,.15,-1
1,.20,-1
1,.25,-1
1,.30,-1
2,.05,-1
2,.10,-1
2,.15,-1
2,.20,-1
2,.25,-1
2,.30,-1
3,.05,-1
3,.10,-1
3,.15,-1
3,.20,-1
3,.25,-1
3,.30,-1
4,.05,-1
4,.10,-1
4,.15,-1
4,.20,-1
4,.25,-1
4,.30,-1
5,.05,-1
5,.10,-1
5,.15,-1
5,.20,-1
5,.25,-1
5,.30,-1
6,.05,-1
6,.10,-1
6,.15,-1
6,.20,-1
6,.25,-1
6,.30,-1
7,.05,-1
7,.10,-1
7,.15,-1
7,.20,-1
7,.25,-1
7,.30,-1
8,.05,-1
8,.10,-1
8,.15,-1
8,.20,-1
8,.25,-1
8,.30,-1
9,.05,-1
9,.10,-1
9,.15,-1
9,.20,-1
9,.25,-1
9,.30,-1
10,.05,-1
10,.10,-1
10,.15,-1
10,.20,-1
10,.25,-1
10,.30,-1
11,.05,-1
11,.10,-1
11,.15,-1
11,.20,-1
11,.25,-1
11,.30,-1
12,.05,-1
12,.10,-1
12,.15,-1
12,.20,-1
12,.25,-1
12,.30,2
13,.05,-1
13,.10,-1
13,.15,-1
13,.20,-1
13,.25,2
13,.30,4
14,.05,-1
14,.10,-1
14,.15,-1
14,.20,3
14,.25,9
14,.30,18
15,.05,-1
15,.10,-1
15,.15,2
15,.20,9
15,.25,20
15,.30,28
16,.05,-1
16,.10,2
16,.15,12
16,.20,24
16,.25,42
16,.30,68
17,.05,4
17,.10,14
17,.15,18
17,.20,33
17,.25,63
17,.30,102
18,.05,-1
18,.10,12
18,.15,25
18,.20,50
18,.25,97
18,.30,160
19,.05,4
19,.10,17
19,.15,39
19,.20,91
19,.25,152
19,.30,223
20,.05,3
20,.10,34
20,.15,79
20,.20,144
20,.25,236
20,.30,344
21,.05,15
21,.10,45
21,.15,97
21,.20,183
21,.25,299
21,.30,447
22,.05,18
22,.10,62
22,.15,122
22,.20,224
22,.25,365
22,.30,547
23,.05,16
23,.10,84
23,.15,173
23,.20,291
23,.25,461
23,.30,663
24,.05,31
24,.10,119
24,.15,207
24,.20,332
24,.25,521
24,.30,761
25,.05,41
25,.10,123
25,.15,220
25,.20,393
25,.25,600
25,.30,844
26,.05,29
26,.10,142
26,.15,273
26,.20,426
26,.25,637
26,.30,921
27,.05,42
27,.10,148
27,.15,289
27,.20,462
27,.25,690
27,.30,970
28,.05,47
28,.10,191
28,.15,327
28,.20,484
28,.25,720
28,.30,980
29,.05,37
29,.10,204
29,.15,373
29,.20,525
29,.25,777
29,.30,997
30,.05,47
30,.10,183
30,.15,346
30,.20,538
30,.25,737
30,.30,996
31,.05,49
31,.10,194
31,.15,359
31,.20,561
31,.25,748
31,.30,1002
32,.05,55
32,.10,222
32,.15,378
32,.20,550
32,.25,770
32,.30,1071
33,.05,51
33,.10,208
33,.15,419
33,.20,583
33,.25,797
33,.30,1070
34,.05,56
34,.10,216
34,.15,397
34,.20,608
34,.25,826
34,.30,1067
35,.05,58
35,.10,219
35,.15,440
35,.20,608
35,.25,828
35,.30,1058
36,.05,70
36,.10,277
36,.15,490
36,.20,660
36,.25,847
36,.30,1068
37,.05,72
37,.10,265
37,.15,469
37,.20,663
37,.25,845
37,.30,1060
38,.05,72
38,.10,304
38,.15,527
38,.20,722
38,.25,875
38,.30,1046
39,.05,99
39,.10,306
39,.15,545
39,.20,723
39,.25,892
39,.30,1088
40,.05,89
40,.10,315
40,.15,517
40,.20,711
40,.25,875
40,.30,1068
41,.05,97
41,.10,326
41,.15,523
41,.20,711
41,.25,887
41,.30,1051
42,.05,92
42,.10,314
42,.15,549
42,.20,741
42,.25,910
42,.30,1113
43,.05,94
43,.10,317
43,.15,575
43,.20,732
43,.25,918
43,.30,1101
44,.05,89
44,.10,344
44,.15,601
44,.20,763
44,.25,935
44,.30,1117
45,.05,95
45,.10,376
45,.15,610
45,.20,777
45,.25,976
45,.30,1098
46,.05,99
46,.10,387
46,.15,606
46,.20,818
46,.25,973
46,.30,1104
47,.05,108
47,.10,373
47,.15,585
47,.20,782
47,.25,979
47,.30,1104
48,.05,116
48,.10,389
48,.15,652
48,.20,807
48,.25,962
48,.30,1126
49,.05,103
49,.10,394
49,.15,623
49,.20,792
49,.25,951
49,.30,1129
50,.05,115
50,.10,393
50,.15,626
50,.20,781
50,.25,945
50,.30,1119
51,.05,131
51,.10,398
51,.15,619
