galaxyID,x,y,z,mag_r
0,6.5757904,13.08604,25.33813,-23.712515
1954,6.655183,13.096933,25.351128,-16.48613
1997,6.515642,13.115097,25.45671,-15.878882
2038,6.7215104,13.06311,25.392992,-16.204874
2083,6.6966653,13.099839,25.341185,-16.750687
2128,6.4210086,13.01643,25.393806,-15.808496
2158,6.511893,13.158967,25.357224,-18.032145
2209,6.700809,13.099925,25.50638,-16.359911
2249,6.487102,13.101806,25.333704,-17.309164
2285,6.086391,13.231051,24.968185,-17.24559
2324,6.317936,13.6223955,24.705755,-16.447435
2364,7.1992397,12.709011,25.383366,-16.49115
2402,7.455649,12.852035,25.541319,-16.271109
2468,6.3803353,12.990177,25.411371,-17.032068
2510,6.673644,13.117046,25.416761,-20.388788
2587,6.524194,13.076276,25.291365,-17.922857
2638,6.597586,13.287083,25.136045,-14.299888
2669,7.084503,12.705661,26.136894,-16.274113
2706,7.1467986,12.757251,25.261026,-14.03533
2731,6.7763352,13.197627,25.33637,-18.4966
2789,6.6281276,13.11023,25.109352,-15.82052
2818,7.135559,12.549675,25.161806,-15.530973
2854,7.418323,12.774497,26.51287,-16.542833
2891,6.497693,13.31879,25.557209,-15.3383255
2929,6.551723,13.082895,25.374462,-14.432718
2963,7.09684,13.207942,25.463785,-15.629444
2986,6.538895,13.105042,24.771414,-15.579448
3011,6.497954,13.136607,25.824892,-17.732042
3051,6.601166,12.981268,25.310621,-17.88349
3096,6.4268265,13.189083,25.296894,-18.758972
3142,6.4563727,12.61308,25.25295,-15.941533
3172,7.201632,13.20094,25.639698,-17.074938
3211,6.5563745,13.139466,25.328373,-15.133107
3250,6.2838373,13.348602,24.838362,-16.92912
3296,6.8211694,13.182963,25.402113,-16.190197
3335,6.838457,12.932215,25.408209,-17.937708
3381,6.380856,12.865317,25.701244,-15.604813
3416,6.7969584,12.866585,25.31892,-16.618645
3479,6.3645906,13.013476,25.374327,-16.396967
3509,6.703239,13.117966,25.30226,-16.696901
3544,6.5351048,12.766417,25.090654,-15.823858
3572,6.358974,12.9618225,25.279846,-17.139462
3615,6.3842793,12.623855,25.267746,-15.842048
3648,6.531105,13.085969,25.32613,-15.1921625
3676,6.621993,13.253899,25.25838,-16.707806
3706,6.3065443,13.341836,25.269121,-18.944132
3750,7.6599226,13.26627,26.33664,-15.643717
3775,6.640234,13.058291,25.308228,-19.448078
3853,6.7639184,13.055368,25.32715,-18.411638
3907,6.8418355,13.034423,24.89075,-17.497154
3946,5.4845366,13.49605,24.594616,-16.725727
3979,6.540275,13.141901,25.32593,-16.154036
4024,6.4706693,13.043715,25.290401,-15.394992
4062,6.632212,13.018621,25.327803,-15.476229
4097,5.925558,13.520508,24.699602,-17.164688
4138,6.1178446,12.483746,25.540277,-15.822935
4177,7.0193257,13.499362,24.659582,-14.688503
4211,6.5507073,13.060306,25.357058,-15.115008
4246,6.7330694,12.936561,25.382765,-17.49975
4279,5.889189,13.431402,24.591412,-17.841053
