group_id,member_id,x,y,z,velX,velY,velZ,velTot,mag_r
0,2000020000000,34.39621,59.45672,29.856884,9.696209,-124.539795,-243.2797,273.476122248,-23.05118
0,2000020004710,34.467865,59.453888,29.884071,165.53706,32.408306,-212.38147,271.217081561,-21.181917
0,2000020005667,34.380154,59.46026,29.865095,396.54105,-748.3488,105.03559,853.406823246,-20.729794
1,2000023000000,54.434254,50.088318,27.73679,-200.23407,108.83989,-40.19671,231.420785451,-22.324287
1,2000023003035,54.404373,50.100853,27.786263,292.15295,-46.16051,-282.1081,408.740894654,-19.427711
1,2000023003266,54.38972,50.14873,27.680336,-335.9303,430.19168,-377.482,663.631455194,-19.510868
1,2000023007099,54.36665,50.178833,27.683092,505.2864,26.712286,146.30405,526.718869317,-20.917587
3,3000042000000,43.98392,14.842315,13.720044,-82.48974,248.13527,245.34999,358.569779842,-23.760048
3,3000042004341,44.018127,14.7848,13.730046,138.27837,-232.02794,258.92963,374.168980332,-21.355543
3,3000042005124,44.014492,14.793933,13.735551,-135.27544,712.72974,216.83041,757.164812738,-21.884594
3,3000042006790,43.99343,14.819688,13.691203,362.87704,-182.02208,801.71063,898.638813997,-21.564276
4,2000021000000,55.274693,38.280144,16.505081,19.177523,-21.921288,53.264458,60.7076827266,-22.751425
4,2000021003497,55.288857,38.31311,16.490215,21.279057,157.87938,-76.840034,176.870256745,-22.456287
4,2000021006477,55.27521,38.29729,16.488735,58.133945,933.9242,206.81337,958.314007472,-21.205359
4,2000021007147,55.303463,38.303326,16.49815,-1079.3834,-53.481716,-447.51932,1169.70182522,-20.956856
6,2000000,27.40397,29.87746,9.177303,254.87892,-136.5185,68.7741,297.204376706,-22.968367
6,2000945,27.346216,29.857574,9.2110815,191.28963,-69.97216,415.6586,462.882163703,-20.137238
6,2003427,27.4786,29.891108,9.149439,269.48172,-138.36769,93.624405,317.067097413,-20.868837
8,3000043000000,42.140263,18.504465,12.336151,132.73817,-100.540016,373.4053,408.851115518,-22.163494
8,3000043001408,42.145874,18.597946,12.323865,54.39931,66.69215,324.8648,336.071816847,-19.627949
8,3000043001894,42.131046,18.538359,12.321975,110.1088,-99.01702,458.59125,481.906892111,-21.547028
8,3000043003632,42.129574,18.543186,12.235702,2.2111192,29.91272,12.127558,32.3533233062,-20.387638
9,4000000,19.81724,24.840963,21.851301,76.58215,-36.967567,73.603455,112.467307679,-22.171707
9,4000949,19.920647,24.89691,21.864231,811.5754,-305.73703,693.208,1110.25541776,-22.723587
9,4001920,19.946115,24.91595,21.852701,192.81708,-400.03204,716.29706,842.784395638,-21.37341
9,4003279,19.88662,24.827166,21.933657,574.95044,594.26825,-126.20986,836.4518457,-20.225931
15,3000050000000,44.168034,18.395506,16.211481,-60.567337,-109.25729,-106.871254,164.398974026,-22.267656
15,3000050002383,44.16626,18.403582,16.232498,-9.152753,535.4158,-50.11555,537.83400797,-21.402943
15,3000050003184,44.151028,18.384104,16.183746,666.73535,753.1236,-111.42658,1012.00151509,-19.520813
17,2000026000000,59.6041,40.210667,14.488984,-273.44705,-59.451927,132.55986,309.644856668,-22.34968
17,2000026002454,59.593395,40.192646,14.502948,-642.19025,-611.40295,311.05945,939.670083539,-21.102188
17,2000026002912,59.586178,40.195602,14.508039,-856.1699,-245.80702,453.93356,999.75180202,-21.455162
18,4000017000000,58.721428,16.786146,56.94319,-2.3347812,-91.98663,12.009877,92.7967049392,-22.189943
18,4000017002283,58.825153,16.828812,56.925915,39.726902,-343.13745,357.597,497.189250431,-20.204115
18,4000017002448,58.76823,16.785822,56.93237,354.0938,-128.42062,-33.169506,378.119678102,-21.136938
18,4000017002889,58.780914,16.816298,56.935593,118.55032,10.655427,-33.688396,123.703777314,-20.120438
18,4000017003053,58.794643,16.713932,56.992134,222.50108,-724.3196,366.38358,841.654644875,-19.517225
19,3000044000000,45.516697,23.036978,15.774074,-188.11816,-132.42705,125.148415,261.892137092,-22.970118
19,3000044002338,45.4629,23.033258,15.772226,508.09628,362.24823,-396.35974,739.247356019,-21.164562
19,3000044003614,45.48395,23.06448,15.773699,-192.14037,-71.28903,171.97377,267.535091437,-22.782457
20,926001184,23.080227,25.49899,31.54856,148.37445,-71.79106,-318.5678,358.684230076,-18.70602
20,926001225,23.045805,25.554728,31.541412,-9.957933,-223.313,-215.66583,310.611665313,-21.664686
20,926002409,23.119528,25.53935,31.545567,-323.3272,388.99765,-72.66698,511.01872759,-20.59888
22,5000054000000,58.059334,50.95552,46.826683,81.56551,256.2758,-33.180492,270.981850198,-22.370525
22,5000054001838,58.13538,50.960934,46.785557,-410.21753,297.79953,178.98033,537.58435665,-19.699347
22,5000054002304,58.08072,50.968407,46.804455,203.00879,210.97385,-98.07775,308.774641521,-21.533667
23,4000016000000,59.63792,9.519856,34.648705,62.35305,100.266655,-263.17526,288.448474472,-22.820377
23,4000016002380,59.611877,9.566472,34.651466,-193.81921,524.0862,-380.88998,676.246558631,-21.546928
23,4000016003080,59.582203,9.468112,34.619556,711.80585,-446.2346,-165.04805,856.17389889,-20.416788
26,5000051000000,1.1221867,56.887596,42.47891,-150.95154,307.05316,117.766266,361.852046978,-22.798103
26,5000051001629,1.1676327,56.870052,42.440357,-313.80243,308.87225,183.28972,476.937263539,-20.775137
26,5000051002478,1.1205331,56.886375,42.47954,-572.8592,476.89383,396.76578,844.404211439,-21.736385
28,6000034000000,28.621374,42.536766,35.446747,268.8722,92.68748,-282.24054,400.678114328,-22.87172
28,6000034001602,28.617382,42.50481,35.431843,47.2338,-219.3006,-132.47148,260.523469262,-20.245832
28,6000034002238,28.612244,42.524757,35.471264,322.53616,631.48065,448.45187,838.991338178,-20.929478
29,3000045002220,53.95015,14.650612,23.65485,-51.99994,141.70467,690.1771,706.490365557,-17.950937
