snapnum,sep_ratio,num_gp
0,.6,-1
0,.8,-1
0,1.0,-1
0,1.2,-1
0,1.4,-1
0,1.6,-1
1,.6,-1
1,.8,-1
1,1.0,-1
1,1.2,-1
1,1.4,-1
1,1.6,-1
2,.6,-1
2,.8,-1
2,1.0,-1
2,1.2,-1
2,1.4,-1
2,1.6,-1
3,.6,-1
3,.8,-1
3,1.0,-1
3,1.2,-1
3,1.4,-1
3,1.6,-1
4,.6,-1
4,.8,-1
4,1.0,-1
4,1.2,-1
4,1.4,-1
4,1.6,-1
5,.6,-1
5,.8,-1
5,1.0,-1
5,1.2,-1
5,1.4,-1
5,1.6,-1
6,.6,-1
6,.8,-1
6,1.0,-1
6,1.2,-1
6,1.4,-1
6,1.6,-1
7,.6,-1
7,.8,-1
7,1.0,-1
7,1.2,-1
7,1.4,-1
7,1.6,-1
8,.6,-1
8,.8,-1
8,1.0,-1
8,1.2,-1
8,1.4,-1
8,1.6,-1
9,.6,-1
9,.8,-1
9,1.0,-1
9,1.2,-1
9,1.4,-1
9,1.6,-1
10,.6,-1
10,.8,-1
10,1.0,-1
10,1.2,-1
10,1.4,-1
10,1.6,-1
11,.6,-1
11,.8,-1
11,1.0,-1
11,1.2,-1
11,1.4,-1
11,1.6,-1
12,.6,-1
12,.8,-1
12,1.0,-1
12,1.2,-1
12,1.4,-1
12,1.6,-1
13,.6,-1
13,.8,-1
13,1.0,-1
13,1.2,-1
13,1.4,-1
13,1.6,-1
14,.6,-1
14,.8,-1
14,1.0,-1
14,1.2,-1
14,1.4,-1
14,1.6,-1
15,.6,-1
15,.8,-1
15,1.0,-1
15,1.2,-1
15,1.4,-1
15,1.6,-1
16,.6,2
16,.8,2
16,1.0,2
16,1.2,2
16,1.4,2
16,1.6,2
17,.6,13
17,.8,14
17,1.0,14
17,1.2,14
17,1.4,14
17,1.6,14
18,.6,11
18,.8,12
18,1.0,12
18,1.2,12
18,1.4,12
18,1.6,12
19,.6,17
19,.8,17
19,1.0,17
19,1.2,17
19,1.4,17
19,1.6,17
20,.6,34
20,.8,34
20,1.0,34
20,1.2,34
20,1.4,34
20,1.6,34
21,.6,43
21,.8,45
21,1.0,45
21,1.2,45
21,1.4,45
21,1.6,45
22,.6,62
22,.8,62
22,1.0,62
22,1.2,62
22,1.4,62
22,1.6,62
23,.6,80
23,.8,84
23,1.0,84
23,1.2,84
23,1.4,84
23,1.6,84
24,.6,112
24,.8,116
24,1.0,119
24,1.2,119
24,1.4,119
24,1.6,119
25,.6,116
25,.8,122
25,1.0,123
25,1.2,123
25,1.4,124
25,1.6,124
26,.6,133
26,.8,141
26,1.0,142
26,1.2,143
26,1.4,143
26,1.6,143
27,.6,137
27,.8,146
27,1.0,148
27,1.2,149
27,1.4,149
27,1.6,149
28,.6,174
28,.8,188
28,1.0,191
28,1.2,191
28,1.4,191
28,1.6,191
29,.6,184
29,.8,201
29,1.0,204
29,1.2,207
29,1.4,207
29,1.6,207
30,.6,153
30,.8,181
30,1.0,183
30,1.2,183
30,1.4,183
30,1.6,183
31,.6,172
31,.8,190
31,1.0,194
31,1.2,195
31,1.4,196
