snapnum,vel_cut,num_gp
0,100,-1
0,200,-1
0,300,-1
0,400,-1
0,500,-1
0,600,-1
0,700,-1
0,800,-1
0,900,-1
0,1000,-1
1,100,-1
1,200,-1
1,300,-1
1,400,-1
1,500,-1
1,600,-1
1,700,-1
1,800,-1
1,900,-1
1,1000,-1
2,100,-1
2,200,-1
2,300,-1
2,400,-1
2,500,-1
2,600,-1
2,700,-1
2,800,-1
2,900,-1
2,1000,-1
3,100,-1
3,200,-1
3,300,-1
3,400,-1
3,500,-1
3,600,-1
3,700,-1
3,800,-1
3,900,-1
3,1000,-1
4,100,-1
4,200,-1
4,300,-1
4,400,-1
4,500,-1
4,600,-1
4,700,-1
4,800,-1
4,900,-1
4,1000,-1
5,100,-1
5,200,-1
5,300,-1
5,400,-1
5,500,-1
5,600,-1
5,700,-1
5,800,-1
5,900,-1
5,1000,-1
6,100,-1
6,200,-1
6,300,-1
6,400,-1
6,500,-1
6,600,-1
6,700,-1
6,800,-1
6,900,-1
6,1000,-1
7,100,-1
7,200,-1
7,300,-1
7,400,-1
7,500,-1
7,600,-1
7,700,-1
7,800,-1
7,900,-1
7,1000,-1
8,100,-1
8,200,-1
8,300,-1
8,400,-1
8,500,-1
8,600,-1
8,700,-1
8,800,-1
8,900,-1
8,1000,-1
9,100,-1
9,200,-1
9,300,-1
9,400,-1
9,500,-1
9,600,-1
9,700,-1
9,800,-1
9,900,-1
9,1000,-1
10,100,-1
10,200,-1
10,300,-1
10,400,-1
10,500,-1
10,600,-1
10,700,-1
10,800,-1
10,900,-1
10,1000,-1
11,100,-1
11,200,-1
11,300,-1
11,400,-1
11,500,-1
11,600,-1
11,700,-1
11,800,-1
11,900,-1
11,1000,-1
12,100,-1
12,200,-1
12,300,-1
12,400,-1
12,500,-1
12,600,-1
12,700,-1
12,800,-1
12,900,-1
12,1000,-1
13,100,-1
13,200,-1
13,300,-1
13,400,-1
13,500,-1
13,600,-1
13,700,-1
13,800,-1
13,900,-1
13,1000,-1
14,100,-1
14,200,-1
14,300,-1
14,400,-1
14,500,-1
14,600,-1
14,700,-1
14,800,-1
14,900,-1
14,1000,-1
15,100,-1
15,200,-1
15,300,-1
15,400,-1
15,500,-1
15,600,-1
15,700,-1
15,800,-1
15,900,-1
15,1000,-1
16,100,2
16,200,2
16,300,2
16,400,2
16,500,2
16,600,2
16,700,2
16,800,2
16,900,2
16,1000,2
17,100,5
17,200,12
17,300,14
17,400,14
17,500,14
17,600,14
17,700,14
17,800,14
17,900,14
17,1000,14
18,100,4
18,200,11
18,300,11
18,400,12
18,500,12
18,600,12
18,700,12
18,800,12
18,900,12
18,1000,12
19,100,7
19,200,12
19,300,16
19,400,17
19,500,17
19,600,17
19,700,17
19,800,17
19,900,17
19,1000,17
20,100,18
20,200,29
20,300,33
20,400,34
20,500,34
20,600,34
20,700,34
20,800,34
20,900,34
20,1000,34
21,100,21
21,200,39
21,300,44
21,400,45
21,500,45
21,600,45
21,700,45
21,800,45
21,900,45
21,1000,45
22,100,31
22,200,52
22,300,61
22,400,62
22,500,62
22,600,62
22,700,62
22,800,62
22,900,62
22,1000,62
23,100,43
23,200,73
23,300,83
23,400,84
23,500,84
23,600,84
23,700,84
23,800,84
23,900,84
23,1000,84
24,100,74
24,200,104
24,300,117
24,400,117
24,500,118
24,600,118
24,700,119
24,800,119
24,900,119
24,1000,119
25,100,74
25,200,114
25,300,121
25,400,123
25,500,123
25,600,123
25,700,123
25,800,123
25,900,123
25,1000,123
26,100,85
26,200,129
26,300,138
26,400,142
26,500,142
26,600,142
26,700,142
26,800,142
26,900,142
26,1000,142
27,100,82
27,200,130
27,300,143
27,400,147
27,500,148
27,600,148
27,700,148
27,800,148
27,900,148
27,1000,148
28,100,97
28,200,155
28,300,181
28,400,190
